New Moon,First Quarter,Full Moon,Third Quarter
1813-11-22T00:00:00,1813-11-30T00:00:00,1813-12-07T00:00:00,1813-12-14T00:00:00
1813-12-22T00:00:00,1813-12-30T00:00:00,None,None
None,None,1814-01-06T00:00:00,1814-01-13T00:00:00
1814-01-21T00:00:00,1814-01-28T00:00:00,1814-02-04T00:00:00,1814-02-12T00:00:00
1814-02-20T00:00:00,1814-02-27T00:00:00,1814-03-06T00:00:00,1814-03-13T00:00:00
1814-03-21T00:00:00,1814-03-28T00:00:00,1814-04-04T00:00:00,1814-04-12T00:00:00
1814-04-20T00:00:00,1814-04-26T00:00:00,1814-05-04T00:00:00,1814-05-12T00:00:00
1814-05-19T00:00:00,1814-05-26T00:00:00,1814-06-02T00:00:00,1814-06-11T00:00:00
1814-06-17T00:00:00,1814-06-24T00:00:00,1814-07-02T00:00:00,1814-07-10T00:00:00
1814-07-17T00:00:00,1814-07-24T00:00:00,1814-08-01T00:00:00,1814-08-08T00:00:00
1814-08-15T00:00:00,1814-08-22T00:00:00,1814-08-30T00:00:00,1814-09-07T00:00:00
1814-09-13T00:00:00,1814-09-21T00:00:00,1814-09-29T00:00:00,1814-10-06T00:00:00
1814-10-13T00:00:00,1814-10-21T00:00:00,1814-10-28T00:00:00,1814-11-04T00:00:00
1814-11-11T00:00:00,1814-11-20T00:00:00,1814-11-27T00:00:00,1814-12-04T00:00:00
1814-12-11T00:00:00,1814-12-19T00:00:00,1814-12-26T00:00:00,None
None,None,None,1815-01-02T00:00:00
1815-01-10T00:00:00,1815-01-18T00:00:00,1815-01-25T00:00:00,1815-02-01T00:00:00
1815-02-09T00:00:00,1815-02-17T00:00:00,1815-02-23T00:00:00,1815-03-02T00:00:00
1815-03-11T00:00:00,1815-03-18T00:00:00,1815-03-25T00:00:00,1815-04-01T00:00:00
1815-04-09T00:00:00,1815-04-16T00:00:00,1815-04-23T00:00:00,1815-05-01T00:00:00
1815-05-09T00:00:00,1815-05-15T00:00:00,1815-05-23T00:00:00,1815-05-31T00:00:00
